cadence,calories,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
47,15,138,2023-04-22 02:31:31,,677.45,8.611,3.0,7.0,25.0,32.5,50.5147849,-84.8085552,17.0,65.5,8.611,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
69,15,157,2023-04-22 02:31:32,,683.21,6.5,3.0,18.0,80.0,74.5,50.5147847,-84.8084736,17.0,65.5,6.5,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
87,15,207,2023-04-22 02:31:33,,687.76,5.056,3.0,22.5,54.0,84.0,50.5147936,-84.8084096,23.0,78.0,5.056,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
89,15,244,2023-04-22 02:31:34,,693.54,5.582,3.0,23.0,49.0,81.5,50.5148342,-84.8083454,27.0,86.5,5.582,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
92,16,261,2023-04-22 02:31:35,,700.24,6.428,3.0,21.5,49.0,78.0,50.5148972,-84.8082999,26.5,87.0,6.428,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
91,16,255,2023-04-22 02:31:36,,707.09,6.733,3.0,20.0,51.0,74.0,50.5149558,-84.8082372,26.5,87.5,6.733,17.0,84.79999999999995,0.0,0.0,84.79999999999995,0.0,2023,4,22,2,2.89,14.0
90,16,233,2023-04-22 02:31:37,,713.53,6.56,3.0,24.5,53.0,84.0,50.5150102,-84.8081827,26.5,87.5,6.56,17.0,84.79999999999995,0.0,0.0,84.79999999999995,0.0,2023,4,22,2,2.89,14.0
88,16,231,2023-04-22 02:31:38,,720.71,6.937,3.0,26.0,55.0,88.5,50.5150709,-84.8081175,26.5,88.5,6.937,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
89,17,246,2023-04-22 02:31:39,,727.97,7.245,3.0,24.0,52.0,85.0,50.5151336,-84.8080548,26.0,89.5,7.245,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
90,17,226,2023-04-22 02:31:40,,734.92,6.988,3.0,20.5,48.0,76.0,50.5151935,-84.8079903,23.5,87.0,6.988,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
90,17,208,2023-04-22 02:31:41,,742.1,7.149,3.0,22.0,57.0,79.5,50.5152481,-84.8079177,22.5,85.5,7.149,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
90,17,207,2023-04-22 02:31:42,,749.23,7.117,3.0,22.0,54.0,80.5,50.5153073,-84.8078538,23.0,84.5,7.117,17.0,85.0,0.0,0.0,85.0,0.0,2023,4,22,2,2.89,14.0
89,17,212,2023-04-22 02:31:43,,755.73,6.659,3.0,21.5,51.0,80.5,50.5153527,-84.8077815,23.0,84.5,6.659,17.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
89,18,214,2023-04-22 02:31:44,,763.23,7.291,3.0,21.0,50.0,80.0,50.5154119,-84.8077083,23.5,84.0,7.291,17.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
89,18,211,2023-04-22 02:31:45,,770.3,7.131,3.0,21.5,52.0,78.0,50.5154666,-84.8076356,23.5,84.0,7.131,17.0,85.20000000000005,0.0,0.0,85.20000000000005,0.0,2023,4,22,2,2.89,14.0
88,18,215,2023-04-22 02:31:46,,777.33,7.044,3.0,22.5,54.0,86.0,50.5155168,-84.8075625,23.0,85.5,7.044,17.0,85.39999999999998,0.0,0.0,85.39999999999998,0.0,2023,4,22,2,2.89,14.0
88,18,217,2023-04-22 02:31:47,,783.33,6.411,3.0,22.0,52.0,86.0,50.5155692,-84.8075099,23.5,86.0,6.411,16.0,85.39999999999998,0.0,0.0,85.39999999999998,0.0,2023,4,22,2,2.89,14.0
87,19,211,2023-04-22 02:31:48,,790.11,6.533,3.0,20.0,47.0,75.5,50.5156216,-84.807444,24.0,87.5,6.533,16.0,85.60000000000002,0.0,0.0,85.60000000000002,0.0,2023,4,22,2,2.89,14.0
86,19,197,2023-04-22 02:31:49,,798.57,8.036,3.0,18.0,44.0,62.5,50.5156889,-84.8073632,24.0,85.5,8.036,16.0,85.60000000000002,0.0,0.0,85.60000000000002,0.0,2023,4,22,2,2.89,14.0
85,19,174,2023-04-22 02:31:50,,805.92,7.513,3.0,17.0,41.0,62.0,50.5157528,-84.807299,20.0,73.5,7.513,16.0,85.79999999999995,0.0,0.0,85.79999999999995,0.0,2023,4,22,2,2.89,14.0
76,19,163,2023-04-22 02:31:51,,812.51,6.791,3.0,16.0,38.0,61.5,50.5157946,-84.8072258,16.0,61.0,6.791,16.0,86.0,0.0,0.0,86.0,0.0,2023,4,22,2,2.89,14.0
50,19,150,2023-04-22 02:31:52,,819.23,6.865,3.0,16.5,42.0,63.5,50.5158428,-84.8071468,16.0,61.0,6.865,16.0,86.20000000000005,0.0,0.0,86.20000000000005,0.0,2023,4,22,2,2.89,14.0
25,19,137,2023-04-22 02:31:53,,824.9,5.889,3.0,17.5,46.0,66.0,50.5158846,-84.8070903,17.0,63.5,5.889,16.0,86.39999999999998,0.0,0.0,86.39999999999998,0.0,2023,4,22,2,2.89,14.0
0,19,0,2023-04-22 02:31:54,,829.46,4.856,3.0,18.0,50.0,68.5,50.5159174,-84.8070436,18.5,66.5,4.856,16.0,86.60000000000002,0.0,0.0,86.60000000000002,0.0,2023,4,22,2,2.89,14.0
0,19,0,2023-04-22 02:31:55,,832.33,3.359,3.0,19.0,54.0,71.0,50.5159314,-84.8069979,19.5,69.5,3.359,16.0,86.79999999999995,0.0,0.0,86.79999999999995,0.0,2023,4,22,2,2.89,14.0
